FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,URL
Jeremy Larsen,"5' 10""",145 lbs.,"70""",Orthodox,"May 18, 1984",http://ufcstats.com/fighter-details/c3bd649a9194e50c
Brock Larson,"5' 11""",170 lbs.,"71""",Southpaw,"Aug 23, 1977",http://ufcstats.com/fighter-details/5eedbf1e9601be35
Bobby Lashley,"6' 3""",255 lbs.,"78""",Orthodox,"Jul 16, 1976",http://ufcstats.com/fighter-details/b0826525fa17231d
Ilir Latifi,"5' 10""",230 lbs.,"73""",Orthodox,"Jul 28, 1982",http://ufcstats.com/fighter-details/e9a3aeb207578eea
Phillip Latu,"6' 3""",205 lbs.,"76""",Orthodox,"Feb 17, 1991",http://ufcstats.com/fighter-details/09224b76d27007ee
Jenel Lausa,"5' 5""",125 lbs.,"68""",Orthodox,"Aug 01, 1988",http://ufcstats.com/fighter-details/ec664422b22d9787
Joe Lauzon,"5' 10""",155 lbs.,"71""",Orthodox,"May 22, 1984",http://ufcstats.com/fighter-details/3bad7ef643840f67
Sandra Lavado,"5' 7""",115 lbs.,"66""",Orthodox,"May 03, 1994",http://ufcstats.com/fighter-details/aa6da8cb3a26da04
Muhammed Lawal,"6' 0""",205 lbs.,"78""",Southpaw,"Jan 11, 1981",http://ufcstats.com/fighter-details/a571770c4016736f
Robbie Lawler,"5' 11""",170 lbs.,"74""",Southpaw,"Mar 20, 1982",http://ufcstats.com/fighter-details/f2925e6db404bf1d
Tom Lawlor,"6' 0""",205 lbs.,"74""",Southpaw,"May 15, 1983",http://ufcstats.com/fighter-details/4d44f37107f01b9b
Justin Lawrence,"5' 8""",145 lbs.,"67""",Orthodox,"May 15, 1990",http://ufcstats.com/fighter-details/879f6cae48d25baa
Lance Lawrence,"6' 1""",145 lbs.,"74""",Orthodox,"Jun 26, 1993",http://ufcstats.com/fighter-details/ce039df1994b18f0
Ronnie Lawrence,"5' 8""",135 lbs.,"68""",Switch,"Jun 13, 1992",http://ufcstats.com/fighter-details/e7e01e266a9d4342
Jimmy Lawson,"6' 0""",265 lbs.,"77""",Orthodox,"Nov 13, 1991",http://ufcstats.com/fighter-details/e43eefb10d440cb0
Valmir Lazaro,"6' 0""",155 lbs.,"73""",Orthodox,"Aug 15, 1985",http://ufcstats.com/fighter-details/777dea713da2441d
Zviad Lazishvili,"5' 6""",135 lbs.,"69""",Orthodox,"Oct 25, 1991",http://ufcstats.com/fighter-details/41498c2d1a87b154
Mounir Lazzez,"6' 1""",170 lbs.,"76""",Orthodox,"Nov 16, 1987",http://ufcstats.com/fighter-details/49ee5024966efc0d
Cung Le,"5' 9""",185 lbs.,"70""",Southpaw,"May 25, 1972",http://ufcstats.com/fighter-details/d4f364dd076bb0e2
Thanh Le,"5' 9""",145 lbs.,"74""",Orthodox,"Aug 28, 1985",http://ufcstats.com/fighter-details/882b3f5a0774d575
Quang Le,"5' 7""",135 lbs.,"70""",Orthodox,"Oct 18, 1991",http://ufcstats.com/fighter-details/32feae6d9a1e5047
Carlos Leal,"5' 11""",170 lbs.,"74""",Orthodox,"May 04, 1994",http://ufcstats.com/fighter-details/28d421729451c8ca
Jordan Leavitt,"5' 9""",155 lbs.,"71""",Southpaw,"Jun 02, 1995",http://ufcstats.com/fighter-details/ac026518a9b4dc0f
Chris Leben,"5' 11""",185 lbs.,"73""",Southpaw,"Jul 21, 1980",http://ufcstats.com/fighter-details/d43a048a880efdff
Jean-Paul Lebosnoyani,"5' 11""",170 lbs.,"72""",Switch,"Jan 27, 1999",http://ufcstats.com/fighter-details/a3dda21be645be93
Mickael Lebout,"5' 11""",155 lbs.,"73""",Orthodox,"Aug 16, 1987",http://ufcstats.com/fighter-details/c575ab451e3c5b1d
Justin Ledet,"6' 4""",205 lbs.,"80""",Orthodox,"Sep 28, 1988",http://ufcstats.com/fighter-details/ba1e6cb3d43f7430
Vaughan Lee,"5' 6""",125 lbs.,"66""",Orthodox,"Oct 15, 1982",http://ufcstats.com/fighter-details/8bb6f4479685bbcc
Kevin Lee,"5' 9""",170 lbs.,"77""",Orthodox,"Sep 04, 1992",http://ufcstats.com/fighter-details/ee9ebceabfd16fa7
Andrea Lee,"5' 6""",125 lbs.,"69""",Orthodox,"Feb 11, 1989",http://ufcstats.com/fighter-details/05fa626cb33d15b8
JeongYeong Lee,"5' 10""",145 lbs.,"73""",Orthodox,"Nov 13, 1995",http://ufcstats.com/fighter-details/d008d785f6347dc2
JungHyun Lee,"5' 5""",125 lbs.,"65""",Orthodox,"Sep 10, 2002",http://ufcstats.com/fighter-details/b6033505c245e28b
ChangHo Lee,"5' 8""",135 lbs.,"69""",Orthodox,"May 09, 1994",http://ufcstats.com/fighter-details/117a06469813e4ef
Macksom Lee,"6' 1""",135 lbs.,"75""",Orthodox,"Jan 06, 1999",http://ufcstats.com/fighter-details/9fd299c8356cbf0f
Cheyden Leialoha,"5' 8""",135 lbs.,"73""",Orthodox,"Mar 15, 1994",http://ufcstats.com/fighter-details/98cbbc06074c68a4
Claudia Leite,"5' 3""",135 lbs.,"64""",Orthodox,"Nov 04, 1996",http://ufcstats.com/fighter-details/90550a08f0b02b6f
Thales Leites,"6' 1""",185 lbs.,"78""",Orthodox,"Sep 06, 1981",http://ufcstats.com/fighter-details/cfb65863d5099327
Amanda Lemos,"5' 4""",115 lbs.,"65""",Southpaw,"May 22, 1987",http://ufcstats.com/fighter-details/3df5493bb279226f
Giacomo Lemos,"6' 3""",247 lbs.,"75""",Orthodox,"Jun 23, 1989",http://ufcstats.com/fighter-details/f37822d5b3e47517
Jesse Lennox,"5' 9""",170 lbs.,"72""",Orthodox,"Mar 10, 1982",http://ufcstats.com/fighter-details/3ae10ac4df3df05c
Nik Lentz,"5' 8""",145 lbs.,"68""",Orthodox,"Aug 13, 1984",http://ufcstats.com/fighter-details/6fb1ba67bef41b37
Victoria Leonardo,"5' 5""",125 lbs.,"64""",Orthodox,"Feb 16, 1990",http://ufcstats.com/fighter-details/9dedfdd91070ddd8
Brock Lesnar,"6' 3""",265 lbs.,"81""",Orthodox,"Jul 12, 1977",http://ufcstats.com/fighter-details/513c6f1715e547a8
Valerie Letourneau,"5' 7""",115 lbs.,"68""",Orthodox,"Apr 29, 1983",http://ufcstats.com/fighter-details/46a2f24feb258ae0
Leah Letson,"5' 7""",145 lbs.,"71""",Southpaw,"Aug 21, 1992",http://ufcstats.com/fighter-details/8cb78f3a6c2a08f7
Marcus LeVesseur,"5' 9""",155 lbs.,"70""",Southpaw,"Jul 17, 1982",http://ufcstats.com/fighter-details/182f2b78582de3d8
Natan Levy,"5' 9""",155 lbs.,"71""",Southpaw,"Sep 30, 1991",http://ufcstats.com/fighter-details/a29db9cd4f9ccea5
Derrick Lewis,"6' 3""",260 lbs.,"79""",Orthodox,"Feb 07, 1985",http://ufcstats.com/fighter-details/d3df1add9d9a7efb
Bevon Lewis,"6' 3""",185 lbs.,"79""",Orthodox,"May 05, 1991",http://ufcstats.com/fighter-details/899923ff6ab13917
Brandon Lewis,"5' 4""",135 lbs.,"70""",Orthodox,"Aug 02, 1997",http://ufcstats.com/fighter-details/6623cb1c27025634
Malik Lewis,"6' 0""",155 lbs.,"75""",Orthodox,"Mar 04, 1996",http://ufcstats.com/fighter-details/f60dbe6e05489c4f
Li Jingliang,"6' 0""",170 lbs.,"71""",Orthodox,"Mar 20, 1988",http://ufcstats.com/fighter-details/e64b96c07d7ce999
Li Yunfeng,"5' 8""",135 lbs.,"68""",Orthodox,"Mar 08, 1999",http://ufcstats.com/fighter-details/4c7afd56ef1947ac
Liang Na,"5' 5""",125 lbs.,"67""",Orthodox,"Jul 27, 1996",http://ufcstats.com/fighter-details/ec0dcceace7d25a3
Jess Liaudin,"5' 9""",170 lbs.,"72""",Orthodox,--,http://ufcstats.com/fighter-details/a8aba6fd8a463043
Chuck Liddell,"6' 2""",205 lbs.,"76""",Orthodox,"Dec 17, 1969",http://ufcstats.com/fighter-details/a390eb8a9b2df298
Rodrigo Lidio,"5' 11""",155 lbs.,"73""",Orthodox,"Jul 07, 1989",http://ufcstats.com/fighter-details/11b5a809c3120e27
Hyun Gyu Lim,"6' 3""",170 lbs.,"77""",Orthodox,"Jan 16, 1985",http://ufcstats.com/fighter-details/203c957eac95dd87
Juliana Lima,"5' 5""",115 lbs.,"65""",Orthodox,"Mar 15, 1982",http://ufcstats.com/fighter-details/75a6a390fd5dca46
Dhiego Lima,"6' 2""",170 lbs.,"75""",Orthodox,"Jan 31, 1989",http://ufcstats.com/fighter-details/e9213f53ddeca978
Andre Lima,"5' 7""",125 lbs.,"67""",Orthodox,"Feb 04, 1999",http://ufcstats.com/fighter-details/b1f21ce050035d58
Felipe Lima,"5' 6""",135 lbs.,"68""",Orthodox,"May 07, 1998",http://ufcstats.com/fighter-details/9256f591b30c073e
Emiliano Linares,"5' 8""",145 lbs.,"72""",Orthodox,"Apr 21, 1997",http://ufcstats.com/fighter-details/a4ef92274a45143d
Matt Lindland,"6' 0""",185 lbs.,"74""",Southpaw,"May 17, 1970",http://ufcstats.com/fighter-details/0e041d43a47d2e4b
John Lineker,"5' 3""",135 lbs.,"67""",Orthodox,"Jun 12, 1990",http://ufcstats.com/fighter-details/c268b2cfebccf652
Austin Lingo,"5' 10""",145 lbs.,"70""",Orthodox,"Jul 10, 1994",http://ufcstats.com/fighter-details/305d73ede05e31ad
Philipe Lins,"6' 2""",205 lbs.,"78""",Orthodox,"Aug 17, 1985",http://ufcstats.com/fighter-details/53c943c873cffe90
Tainara Lisboa,"5' 7""",135 lbs.,"67""",Orthodox,"Mar 02, 1991",http://ufcstats.com/fighter-details/2c5f5749569eef66
Dean Lister,"6' 1""",185 lbs.,"75""",Orthodox,"Feb 13, 1976",http://ufcstats.com/fighter-details/68c6cd5287b473a7
Adam Livingston,"6' 2""",155 lbs.,"71""",Orthodox,"Aug 15, 2001",http://ufcstats.com/fighter-details/515890922fe9ce96
James Llontop,"6' 0""",155 lbs.,"73""",Orthodox,"Aug 02, 1999",http://ufcstats.com/fighter-details/93b2b7caa457cbea
Artem Lobov,"5' 9""",145 lbs.,"65""",Southpaw,"Aug 11, 1986",http://ufcstats.com/fighter-details/02f2a9702ba3d167
Dylan Lockard,"5' 9""",145 lbs.,"72""",Orthodox,"May 19, 1992",http://ufcstats.com/fighter-details/9caa254991a5a698
Ryan Loder,"6' 2""",185 lbs.,"76""",Southpaw,"Jun 05, 1991",http://ufcstats.com/fighter-details/d5bab53a1a603aac
Christian Lohsen,"6' 2""",155 lbs.,"77""",Southpaw,"Jan 24, 1995",http://ufcstats.com/fighter-details/4ab36d70d1b28b58
David Loiseau,"6' 0""",185 lbs.,"76""",Orthodox,"Dec 17, 1979",http://ufcstats.com/fighter-details/22e47b53e4ceb27c
Hector Lombard,"5' 9""",185 lbs.,"71""",Southpaw,"Feb 02, 1978",http://ufcstats.com/fighter-details/db1f2ed63b54b9a7
Michael Lombardo,"6' 0""",170 lbs.,"72""",Orthodox,"Apr 03, 1990",http://ufcstats.com/fighter-details/6d6b9a6cb063b60d
Loma Lookboonmee,"5' 1""",115 lbs.,"61""",Orthodox,"Jan 18, 1996",http://ufcstats.com/fighter-details/4e30e4250cb08b61
Ange Loosa,"5' 10""",170 lbs.,"74""",Orthodox,"Mar 18, 1993",http://ufcstats.com/fighter-details/1497e735d9f2560a
Diego Lopes,"5' 11""",145 lbs.,"72""",Orthodox,"Dec 30, 1994",http://ufcstats.com/fighter-details/f166e93d04a8c274
Bruno Lopes,"6' 2""",205 lbs.,"74""",Orthodox,"Apr 24, 1993",http://ufcstats.com/fighter-details/0abcf6bc47191219
Arthur Lopes,"6' 2""",234 lbs.,"77""",Southpaw,"Feb 17, 1993",http://ufcstats.com/fighter-details/2aa481e98185e261
Matthew Lopez,"5' 7""",135 lbs.,"69""",Southpaw,"Jan 21, 1987",http://ufcstats.com/fighter-details/2fc7e9701642ca38
Benito Lopez,"5' 10""",135 lbs.,"73""",Switch,"Apr 06, 1994",http://ufcstats.com/fighter-details/773f7feacf96153e
Gustavo Lopez,"5' 5""",135 lbs.,"67""",Orthodox,"Jun 27, 1989",http://ufcstats.com/fighter-details/93b62c5f2ba18e51
Alik Lorenz,"6' 2""",205 lbs.,"77""",Orthodox,"Jan 25, 1997",http://ufcstats.com/fighter-details/92b5f4ee9ff40321
Brendan Loughnane,"5' 10""",145 lbs.,"70""",Switch,"Dec 05, 1989",http://ufcstats.com/fighter-details/b788862dd1c11eac
Caolan Loughran,"5' 6""",135 lbs.,"68""",Orthodox,"May 18, 1996",http://ufcstats.com/fighter-details/42ac4020cba261ad
Joe Lowry,"5' 11""",155 lbs.,"73""",Orthodox,"Dec 12, 1989",http://ufcstats.com/fighter-details/86248c84834238e7
Lu Kai,"5' 9""",145 lbs.,"69""",Orthodox,"Mar 01, 1994",http://ufcstats.com/fighter-details/a2d23e684b3db732
Stephanie Luciano,"5' 6""",115 lbs.,"65""",Orthodox,"Dec 16, 1999",http://ufcstats.com/fighter-details/1b35af4d1529adf6
Iasmin Lucindo,"5' 3""",115 lbs.,"66""",Orthodox,"Jan 08, 2002",http://ufcstats.com/fighter-details/abcf2cc6efc42031
Duane Ludwig,"5' 10""",170 lbs.,"70""",Orthodox,"Aug 04, 1978",http://ufcstats.com/fighter-details/84ac950d4c1722dd
Lawrence Lui,"5' 7""",135 lbs.,"72""",Orthodox,"Aug 04, 1996",http://ufcstats.com/fighter-details/a1ad35b98a9136e5
Juan Andres Luna,"5' 7""",125 lbs.,"72""",Orthodox,"Aug 20, 1995",http://ufcstats.com/fighter-details/1fd9f744105024a8
Paula Luna,"5' 2""",125 lbs.,"62""",Orthodox,"Jul 05, 1999",http://ufcstats.com/fighter-details/5b1effb0db45273a
Santiago Luna,"5' 9""",135 lbs.,"74""",Orthodox,"Aug 06, 2004",http://ufcstats.com/fighter-details/faf317c665546a36
Dalcha Lungiambula,"5' 8""",185 lbs.,"76""",Orthodox,"Jul 31, 1987",http://ufcstats.com/fighter-details/ce632027bf2a871b
Vicente Luque,"5' 11""",170 lbs.,"75""",Orthodox,"Nov 27, 1991",http://ufcstats.com/fighter-details/6d4b63c767106d3a
Travis Lutter,"5' 11""",185 lbs.,"75""",Orthodox,"May 12, 1973",http://ufcstats.com/fighter-details/622f015c81a9b13a
Joilton Lutterbach,"6' 1""",185 lbs.,"75""",Orthodox,"Nov 05, 1992",http://ufcstats.com/fighter-details/12630a4aa0894da8
Tucker Lutz,"5' 8""",145 lbs.,"72""",Orthodox,"Jul 12, 1994",http://ufcstats.com/fighter-details/7832f2f62f04178f
Lv Zhenhong,"5' 8""",145 lbs.,"67""",Switch,"Jun 25, 1993",http://ufcstats.com/fighter-details/5a4913108a3b9190
Chris Lytle,"5' 11""",170 lbs.,"68""",Orthodox,"Aug 18, 1974",http://ufcstats.com/fighter-details/91acd6910b802a9e
Dong Hyun Ma,"5' 11""",155 lbs.,"70""",Orthodox,"Sep 09, 1988",http://ufcstats.com/fighter-details/98a6b2361045898f
Pawan Maan,"5' 7""",155 lbs.,"70""",Orthodox,"Apr 06, 1986",http://ufcstats.com/fighter-details/450bacdacd706bcd
William Macario,"5' 11""",170 lbs.,"75""",Orthodox,"Jul 01, 1991",http://ufcstats.com/fighter-details/ed74afc8b5b47a61
Jason MacDonald,"6' 3""",185 lbs.,"80""",Orthodox,"Jun 03, 1975",http://ufcstats.com/fighter-details/2be6596a9db33bf5
Rob MacDonald,"6' 3""",205 lbs.,"78""",Orthodox,"Sep 05, 1978",http://ufcstats.com/fighter-details/f3388d2cf7ab3f64
Rory MacDonald,"6' 0""",170 lbs.,"76""",Orthodox,"Jul 22, 1989",http://ufcstats.com/fighter-details/cbd5d3cdd862e90e
Ryan MacDonald,"5' 11""",135 lbs.,"71""",Switch,"Mar 18, 1993",http://ufcstats.com/fighter-details/35e1f9984ed64206
Valesca Machado,"5' 4""",115 lbs.,"63""",Orthodox,"May 06, 1996",http://ufcstats.com/fighter-details/a1a91dbf41a029c4
Caio Machado,"6' 4""",250 lbs.,"78""",Southpaw,"Jul 20, 1994",http://ufcstats.com/fighter-details/89839250eb25c9c1
Ian Machado Garry,"6' 3""",170 lbs.,"74""",Orthodox,"Nov 17, 1997",http://ufcstats.com/fighter-details/442c9011034ae1fd
Lyoto Machida,"6' 1""",185 lbs.,"74""",Southpaw,"May 30, 1978",http://ufcstats.com/fighter-details/f7a7f7118d4b01b6
Pauline Macias,"5' 4""",115 lbs.,"64""",Southpaw,"Jun 27, 1988",http://ufcstats.com/fighter-details/e88b83dea18f5d31
Reza Madadi,"5' 11""",155 lbs.,"73""",Orthodox,"Jun 20, 1978",http://ufcstats.com/fighter-details/e25bcbcdaf6537a1
Don Madge,"6' 0""",155 lbs.,"72""",Southpaw,"Nov 12, 1990",http://ufcstats.com/fighter-details/68c7ad953455c73f
Victor Madrigal,"5' 7""",135 lbs.,"71""",Orthodox,"Aug 16, 1990",http://ufcstats.com/fighter-details/cc63a5f0089d8ba9
Jon Madsen,"6' 0""",240 lbs.,"72""",Orthodox,"Feb 12, 1980",http://ufcstats.com/fighter-details/7691a80e6ca3e55b
Mark Madsen,"5' 8""",155 lbs.,"72""",Orthodox,"Sep 23, 1984",http://ufcstats.com/fighter-details/da0995f19b749cfa
Yoshiro Maeda,"5' 7""",139 lbs.,"68""",Southpaw,"Oct 31, 1981",http://ufcstats.com/fighter-details/a4bf17bd3ba3423b
Leonardo Mafra,"5' 10""",155 lbs.,"70""",Orthodox,"Apr 25, 1989",http://ufcstats.com/fighter-details/8bbc0cfc01bc1ba1
Vinny Magalhaes,"6' 3""",205 lbs.,"75""",Orthodox,"Jul 02, 1984",http://ufcstats.com/fighter-details/88a9bc81271ccd89
Caio Magalhaes,"6' 1""",185 lbs.,"73""",Orthodox,"Dec 14, 1987",http://ufcstats.com/fighter-details/0c5c66ddd1886b83
Angela Magana,"5' 1""",115 lbs.,"65""",Orthodox,"Aug 02, 1983",http://ufcstats.com/fighter-details/bd878a638e0e3be3
Neil Magny,"6' 3""",170 lbs.,"80""",Orthodox,"Aug 03, 1987",http://ufcstats.com/fighter-details/84b3e7d38f2d2ec5
Raimond Magomedaliev,"6' 1""",170 lbs.,"75""",Orthodox,"Jun 10, 1990",http://ufcstats.com/fighter-details/d16373b3568678d4
Rashid Magomedov,"5' 9""",155 lbs.,"70""",Orthodox,"Nov 29, 1984",http://ufcstats.com/fighter-details/7ea1f74cef32f906
Ruslan Magomedov,"6' 3""",242 lbs.,"78""",Orthodox,"Nov 26, 1986",http://ufcstats.com/fighter-details/369e1ce458ef50a6
Abus Magomedov,"6' 2""",185 lbs.,"78""",Orthodox,"Sep 02, 1990",http://ufcstats.com/fighter-details/36b8f265bcd1b7a4
Shara Magomedov,"6' 2""",185 lbs.,"73""",Orthodox,"May 16, 1994",http://ufcstats.com/fighter-details/06734ca9d88dec3a
Murtazali Magomedov,"5' 9""",145 lbs.,"70""",Orthodox,"Aug 26, 1999",http://ufcstats.com/fighter-details/d436f5d55156a521
Zabit Magomedsharipov,"6' 1""",145 lbs.,"73""",Orthodox,"Mar 01, 1991",http://ufcstats.com/fighter-details/87aa9fb63d6b51a1
John Maguire,"5' 9""",155 lbs.,"69""",Southpaw,"May 19, 1983",http://ufcstats.com/fighter-details/1a7745388839e52b
Maheshate,"6' 0""",155 lbs.,"71""",Orthodox,"Dec 01, 1999",http://ufcstats.com/fighter-details/8c1ca54b5089d199
Demian Maia,"6' 1""",170 lbs.,"72""",Southpaw,"Nov 06, 1977",http://ufcstats.com/fighter-details/427b5953ac8e3a27
Jennifer Maia,"5' 4""",125 lbs.,"64""",Orthodox,"Oct 06, 1988",http://ufcstats.com/fighter-details/8e1f36476ef02a6a
Nayara Maia,"5' 5""",125 lbs.,"66""",Orthodox,"Jul 25, 1990",http://ufcstats.com/fighter-details/03b1b79b34eaf217
Levan Makashvili,"5' 8""",145 lbs.,"68""",Orthodox,"Jan 07, 1989",http://ufcstats.com/fighter-details/938ad489fb7a1f31
John Makdessi,"5' 8""",155 lbs.,"68""",Orthodox,"May 03, 1985",http://ufcstats.com/fighter-details/c21a036b4e012f1c
Islam Makhachev,"5' 10""",170 lbs.,"70""",Southpaw,"Oct 27, 1991",http://ufcstats.com/fighter-details/275aca31f61ba28c
Zach Makovsky,"5' 4""",125 lbs.,"64""",Southpaw,"Apr 19, 1983",http://ufcstats.com/fighter-details/57ab4d7c0bc09a30
Azat Maksum,"5' 7""",125 lbs.,"70""",Southpaw,"Feb 02, 1995",http://ufcstats.com/fighter-details/7f1bf0c255ec8756
Fabio Maldonado,"6' 1""",205 lbs.,"75""",Orthodox,"Mar 17, 1980",http://ufcstats.com/fighter-details/1fb80f46d3c105d9
Bea Malecki,"5' 9""",135 lbs.,"74""",Orthodox,"Aug 23, 1991",http://ufcstats.com/fighter-details/b60c980f79b87ce8
Jacob Malkoun,"5' 9""",185 lbs.,"73""",Orthodox,"Aug 26, 1995",http://ufcstats.com/fighter-details/d4270315cbcf2569
Mike Malott,"6' 1""",170 lbs.,"73""",Orthodox,"Nov 07, 1991",http://ufcstats.com/fighter-details/dd6103dd7127db1d
Nate Maness,"5' 10""",125 lbs.,"72""",Orthodox,"Jun 27, 1991",http://ufcstats.com/fighter-details/6e9f40c706f91f32
George Mangos,"5' 10""",145 lbs.,"70""",Switch,"Aug 19, 2003",http://ufcstats.com/fighter-details/122ae3b34275fbb2
Marnic Mann,"5' 0""",115 lbs.,"64""",Southpaw,"Mar 05, 1993",http://ufcstats.com/fighter-details/b6203e0492a9336c
Dylan Mantello,"6' 1""",155 lbs.,"73""",Orthodox,"Nov 19, 1992",http://ufcstats.com/fighter-details/e192ebb85b68fa9e
Jimi Manuwa,"6' 1""",205 lbs.,"79""",Orthodox,"Feb 18, 1980",http://ufcstats.com/fighter-details/1e1dbd1cc5a7469e
Dom Mar Fan,"5' 11""",155 lbs.,"75""",Orthodox,"Mar 19, 2000",http://ufcstats.com/fighter-details/530af2900b5a1693
Cristiano Marcello,"5' 9""",155 lbs.,"72""",Orthodox,"Dec 03, 1977",http://ufcstats.com/fighter-details/ff4c3ab594c7fac3
Daniel Marcos,"5' 7""",135 lbs.,"69""",Orthodox,"Mar 07, 1993",http://ufcstats.com/fighter-details/850266b3dc4e506e
Marcos Mariano,"6' 1""",155 lbs.,"76""",Switch,"Oct 12, 1986",http://ufcstats.com/fighter-details/72e5e5a6edfa8223
Chepe Mariscal,"5' 7""",145 lbs.,"69""",Orthodox,"Oct 27, 1992",http://ufcstats.com/fighter-details/e0c6edcb5b5d0b90
Ronny Markes,"6' 1""",185 lbs.,"75""",Orthodox,"Apr 21, 1988",http://ufcstats.com/fighter-details/bd21a1e3d41c97ee
Rory Markham,"6' 0""",170 lbs.,"71""",Orthodox,"Mar 25, 1982",http://ufcstats.com/fighter-details/23a16ebe733e3041
Randa Markos,"5' 4""",115 lbs.,"63""",Orthodox,"Aug 10, 1985",http://ufcstats.com/fighter-details/4a57ebb14315b251
Christina Marks,"5' 7""",125 lbs.,"69""",Orthodox,"Nov 08, 1985",http://ufcstats.com/fighter-details/c7be22a47a58365a
Brendon Marotte,"5' 9""",145 lbs.,"70""",Orthodox,"Jan 12, 1996",http://ufcstats.com/fighter-details/d7fe8c6b7d2872e5
Nate Marquardt,"6' 0""",185 lbs.,"74""",Orthodox,"Apr 20, 1979",http://ufcstats.com/fighter-details/a8e6a69796280f17
Danilo Marques,"6' 6""",205 lbs.,"77""",Orthodox,"Dec 26, 1985",http://ufcstats.com/fighter-details/687c15b2eddfaa63
Julian Marquez,"6' 2""",185 lbs.,"72""",Orthodox,"May 08, 1990",http://ufcstats.com/fighter-details/d0e1b42d41dab603
Carmelo Marrero,"6' 0""",205 lbs.,"73""",Orthodox,"Jan 26, 1981",http://ufcstats.com/fighter-details/aa03a3ca00ac6827
Eliot Marshall,"6' 2""",205 lbs.,"77""",Orthodox,"Jul 07, 1980",http://ufcstats.com/fighter-details/a08d909a5be6f410
Francis Marshall,"5' 9""",145 lbs.,"72""",Orthodox,"Mar 03, 1999",http://ufcstats.com/fighter-details/5d495dec23d7c68e
Jack Marshman,"6' 0""",185 lbs.,"73""",Orthodox,"Dec 19, 1989",http://ufcstats.com/fighter-details/045f25b3a4c08e81
Terry Martin,"5' 8""",185 lbs.,"71""",Orthodox,"Oct 10, 1980",http://ufcstats.com/fighter-details/6a92caba39b64752
Anthony Rocco Martin,"6' 0""",170 lbs.,"73""",Orthodox,"Dec 11, 1989",http://ufcstats.com/fighter-details/5331b25a60417ffb
Mallory Martin,"5' 4""",115 lbs.,"63""",Orthodox,"Jan 29, 1994",http://ufcstats.com/fighter-details/19b7738321cfae42
Danny Martinez,"5' 6""",125 lbs.,"67""",Orthodox,"Jun 14, 1985",http://ufcstats.com/fighter-details/8a9c6c4301f6d088
Henry Martinez,"5' 7""",155 lbs.,"69""",Southpaw,"Aug 07, 1983",http://ufcstats.com/fighter-details/76729a829623e266
Jonathan Martinez,"5' 8""",135 lbs.,"70""",Southpaw,"Apr 20, 1994",http://ufcstats.com/fighter-details/f2477cf43c4975cc
Mana Martinez,"5' 10""",135 lbs.,"70""",Orthodox,"Mar 25, 1996",http://ufcstats.com/fighter-details/c0386644627a7ee5
Victor Martinez,"5' 8""",155 lbs.,"70""",Orthodox,"Jul 17, 1991",http://ufcstats.com/fighter-details/3e708ce33b6b18e6
Roque Martinez,"5' 10""",250 lbs.,"72""",Orthodox,"Mar 04, 1986",http://ufcstats.com/fighter-details/2c5a0b8317f8f27a
Melissa Martinez,"5' 2""",115 lbs.,"66""",Southpaw,"Aug 18, 1997",http://ufcstats.com/fighter-details/3f4c3bc822bea45d
Julieta Martinez,"5' 1""",115 lbs.,"62""",Orthodox,"Sep 14, 2004",http://ufcstats.com/fighter-details/f77afa72da84c9a8
David Martinez,"5' 5""",135 lbs.,"67""",Orthodox,"Aug 03, 1998",http://ufcstats.com/fighter-details/9a97acbfd5a08bfa
Adriano Martins,"5' 10""",155 lbs.,"72""",Southpaw,"Dec 16, 1982",http://ufcstats.com/fighter-details/7dcf06c1967801c1
Lucas Martins,"6' 0""",145 lbs.,"72""",Southpaw,"Nov 11, 1988",http://ufcstats.com/fighter-details/7413b80dbb0f8f9f
Bristol Marunde,"6' 1""",170 lbs.,"75""",Orthodox,"Apr 20, 1982",http://ufcstats.com/fighter-details/a17322f99ddfd8e9
Kazuma Maruyama,"5' 11""",155 lbs.,"72""",Orthodox,"Jul 19, 1992",http://ufcstats.com/fighter-details/aa1a873d05acc7eb
Islem Masraf,"6' 0""",205 lbs.,"74""",Southpaw,"Jun 07, 1996",http://ufcstats.com/fighter-details/6dedfe07640a9acc
Mike Massenzio,"6' 2""",185 lbs.,"73""",Southpaw,"Nov 01, 1982",http://ufcstats.com/fighter-details/5b2d7906aa894274
Jameel Massouh,"5' 10""",145 lbs.,"72""",Orthodox,"Sep 12, 1984",http://ufcstats.com/fighter-details/883922e5cd6d8473
Tiffany Masters,"5' 3""",115 lbs.,"65""",Orthodox,"Jul 31, 1994",http://ufcstats.com/fighter-details/ca743f96dd2063d5
Jorge Masvidal,"5' 11""",170 lbs.,"74""",Orthodox,"Nov 12, 1984",http://ufcstats.com/fighter-details/47b9e0e7703a4868
Al Matavao,"5' 8""",205 lbs.,"67""",Orthodox,"Feb 23, 1994",http://ufcstats.com/fighter-details/eec3fe66a8b11a26
Arisa Matsuda,"5' 3""",115 lbs.,"64""",Orthodox,"Dec 15, 1994",http://ufcstats.com/fighter-details/4c33b3d37955aa85
Toki Matsui,"5' 6""",125 lbs.,"65""",Orthodox,"Sep 08, 1999",http://ufcstats.com/fighter-details/56cc76c55cee8410
