FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,URL
Alatengheili,"5' 5""",135 lbs.,"66""",Orthodox,"Dec 14, 1991",http://ufcstats.com/fighter-details/1897b7b913736a7c
Amir Albazi,"5' 5""",125 lbs.,"68""",Orthodox,"Oct 27, 1993",http://ufcstats.com/fighter-details/6d35bf94f7d30241
John Albert,"5' 8""",135 lbs.,"68""",Orthodox,"Oct 13, 1986",http://ufcstats.com/fighter-details/7bd94b60d7521e4a
Junior Albini,"6' 3""",264 lbs.,"74""",Orthodox,"Mar 15, 1991",http://ufcstats.com/fighter-details/c482c8605455a213
Aleksandra Albu,"5' 2""",115 lbs.,"63""",Orthodox,"Jul 14, 1990",http://ufcstats.com/fighter-details/e76d9f656ceb82ab
Iuri Alcantara,"5' 9""",135 lbs.,"71""",Southpaw,"Aug 04, 1980",http://ufcstats.com/fighter-details/2f95a3c6d58b2aad
Ildemar Alcantara,"6' 2""",185 lbs.,"78""",Orthodox,"Nov 18, 1982",http://ufcstats.com/fighter-details/7c6e87729e824ef4
Irene Aldana,"5' 9""",135 lbs.,"68""",Orthodox,"Mar 26, 1988",http://ufcstats.com/fighter-details/578ef12674df1e6a
Hector Aldana,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 17, 1988",http://ufcstats.com/fighter-details/c487223b0289bda9
Jose Alday,"5' 7""",135 lbs.,"68""",Orthodox,"Sep 14, 1991",http://ufcstats.com/fighter-details/7460ddef986d3144
Jose Aldo,"5' 7""",135 lbs.,"70""",Orthodox,"Sep 09, 1986",http://ufcstats.com/fighter-details/d0f3959b4a9747e6
JJ Aldrich,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 29, 1992",http://ufcstats.com/fighter-details/6fd953151d981979
Irina Alekseeva,"5' 8""",135 lbs.,"67""",Orthodox,"Jun 27, 1990",http://ufcstats.com/fighter-details/103e2e33a60683e1
Talita Alencar,"5' 1""",115 lbs.,"58""",Orthodox,"Oct 17, 1990",http://ufcstats.com/fighter-details/d35298b6df168456
Jim Alers,"5' 9""",145 lbs.,"71""",Orthodox,"Oct 14, 1986",http://ufcstats.com/fighter-details/fe5a9547479396ab
John Alessio,"5' 10""",155 lbs.,"72""",Orthodox,"Jul 05, 1979",http://ufcstats.com/fighter-details/7a15f3694c5cbc02
Houston Alexander,"6' 0""",205 lbs.,"72""",Orthodox,"Mar 22, 1972",http://ufcstats.com/fighter-details/0541480fbf719d86
Lucas Alexander,"5' 11""",145 lbs.,"73""",Orthodox,"Jul 28, 1995",http://ufcstats.com/fighter-details/11583163f45c7b31
Marcio Alexandre Junior,"6' 0""",185 lbs.,"75""",Southpaw,"May 05, 1989",http://ufcstats.com/fighter-details/d53482bef23235ba
Bill Algeo,"6' 0""",145 lbs.,"73""",Switch,"Jun 09, 1989",http://ufcstats.com/fighter-details/9abc648e76c4493a
Sultan Aliev,"5' 11""",170 lbs.,"74""",Orthodox,"Sep 17, 1984",http://ufcstats.com/fighter-details/e70de1859b7ee78e
Nurullo Aliev,"5' 10""",155 lbs.,"72""",Orthodox,"Dec 08, 2000",http://ufcstats.com/fighter-details/ca28cdf526d6b6e9
Ikram Aliskerov,"6' 0""",185 lbs.,"76""",Southpaw,"Dec 07, 1992",http://ufcstats.com/fighter-details/b07aed698fba8624
Leon Aliu,"6' 0""",185 lbs.,"74""",Orthodox,"Jul 14, 1989",http://ufcstats.com/fighter-details/6db394bf6c3b017c
John Allan,"6' 1""",205 lbs.,"75""",Orthodox,"Feb 22, 1993",http://ufcstats.com/fighter-details/6ebe96a116e79e52
Arnold Allen,"5' 8""",145 lbs.,"70""",Southpaw,"Jan 22, 1994",http://ufcstats.com/fighter-details/040a74bb0a465c54
Brendan Allen,"6' 2""",185 lbs.,"75""",Orthodox,"Dec 28, 1995",http://ufcstats.com/fighter-details/2f181c0467965b98
Daniel Allen,"6' 0""",155 lbs.,"75""",Southpaw,"Aug 10, 1992",http://ufcstats.com/fighter-details/adf9a901308fb8e3
Ben Alloway,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 19, 1981",http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb
Asu Almabayev,"5' 4""",125 lbs.,"65""",Orthodox,"Jan 25, 1994",http://ufcstats.com/fighter-details/8d3273573b85be09
Bekzat Almakhan,"5' 7""",135 lbs.,"68""",Orthodox,"Oct 08, 1997",http://ufcstats.com/fighter-details/a4dc0f2b95df4cc1
John Dave Almanza,"5' 7""",125 lbs.,"67""",Southpaw,"Mar 22, 2004",http://ufcstats.com/fighter-details/088aa1b19b2dc14a
Ricardo Almeida,"6' 0""",170 lbs.,"74""",Orthodox,"Nov 29, 1976",http://ufcstats.com/fighter-details/91186547a7f3f758
Thomas Almeida,"5' 7""",145 lbs.,"70""",Southpaw,"Jul 31, 1991",http://ufcstats.com/fighter-details/2b074403b7c6cdb4
Jailton Almeida,"6' 3""",205 lbs.,"79""",Orthodox,"Jun 26, 1991",http://ufcstats.com/fighter-details/41e83a89929d1327
Lucas Almeida,"5' 11""",145 lbs.,"71""",Orthodox,"Jan 31, 1991",http://ufcstats.com/fighter-details/710f0f8c5d5c9d41
Cesar Almeida,"6' 1""",185 lbs.,"74""",Orthodox,"Mar 28, 1988",http://ufcstats.com/fighter-details/64d47ef881a437a4
Sarah Alpar,"5' 4""",135 lbs.,"63""",Southpaw,"Jun 01, 1991",http://ufcstats.com/fighter-details/49b130de1da2e1bf
Ali AlQaisi,"5' 6""",135 lbs.,"68""",Orthodox,"Sep 23, 1990",http://ufcstats.com/fighter-details/e87a13e02c01331d
Victor Altamirano,"5' 8""",125 lbs.,"70""",Switch,"Jan 23, 1991",http://ufcstats.com/fighter-details/dc7927cd622676a7
Patricia Alujas,"5' 4""",115 lbs.,"64""",Orthodox,"May 08, 1996",http://ufcstats.com/fighter-details/430c533614d45813
Eddie Alvarez,"5' 9""",155 lbs.,"69""",Orthodox,"Jan 11, 1984",http://ufcstats.com/fighter-details/33a331684283900f
Jaime Alvarez,"5' 8""",125 lbs.,"69""",Orthodox,"Mar 08, 1988",http://ufcstats.com/fighter-details/4438482bd1d5a029
Joel Alvarez,"6' 3""",155 lbs.,"77""",Orthodox,"Mar 02, 1993",http://ufcstats.com/fighter-details/58bbef3770bb2dfc
Thiago Alves,"5' 9""",170 lbs.,"70""",Orthodox,"Oct 03, 1983",http://ufcstats.com/fighter-details/31ee470ef5dc8d7f
Warlley Alves,"5' 11""",185 lbs.,"72""",Orthodox,"Jan 04, 1991",http://ufcstats.com/fighter-details/d317a5e2b3f88c5f
Rafael Alves,"5' 8""",155 lbs.,"68""",Orthodox,"Nov 14, 1990",http://ufcstats.com/fighter-details/029afd138865d20a
Sam Alvey,"6' 2""",185 lbs.,"75""",Southpaw,"May 06, 1986",http://ufcstats.com/fighter-details/d156513a19acf856
Christopher Alvidrez,"6' 0""",170 lbs.,"74""",Orthodox,"Dec 27, 1996",http://ufcstats.com/fighter-details/f4abf9aeda861283
Mahamed Aly,"6' 2""",205 lbs.,"78""",Orthodox,"Jan 11, 1994",http://ufcstats.com/fighter-details/86c1441676af2c73
Adlan Amagov,"6' 2""",170 lbs.,"76""",Orthodox,"Oct 30, 1986",http://ufcstats.com/fighter-details/1e327b281ef6a745
Alen Amedovski,"5' 10""",185 lbs.,"74""",Orthodox,"Apr 06, 1988",http://ufcstats.com/fighter-details/70fa1c64a2c439ef
Hyder Amil,"5' 9""",145 lbs.,"70""",Switch,"May 28, 1990",http://ufcstats.com/fighter-details/41cc71cbf210e0fe
Makwan Amirkhani,"5' 10""",145 lbs.,"72""",Southpaw,"Nov 08, 1988",http://ufcstats.com/fighter-details/87a1dc546b1c5caf
Jaqueline Amorim,"5' 3""",115 lbs.,"68""",Orthodox,"Jun 24, 1995",http://ufcstats.com/fighter-details/bc7d1ad49fcb2d08
Eryk Anders,"6' 1""",185 lbs.,"75""",Southpaw,"Apr 21, 1987",http://ufcstats.com/fighter-details/cad24459b28592ca
Corey Anderson,"6' 3""",205 lbs.,"79""",Orthodox,"Sep 22, 1989",http://ufcstats.com/fighter-details/5e4eec08896c9423
Megan Anderson,"6' 0""",145 lbs.,"72""",Orthodox,"Feb 11, 1990",http://ufcstats.com/fighter-details/a0e75f4a13eb73f1
Liam Anderson,"6' 3""",185 lbs.,"75""",Orthodox,"Jan 13, 1995",http://ufcstats.com/fighter-details/b03a0c78ca45facf
Tatsuya Ando,"5' 4""",145 lbs.,"68""",Southpaw,"Apr 26, 1990",http://ufcstats.com/fighter-details/17615148dd4be6f6
Jessica Andrade,"5' 1""",115 lbs.,"62""",Orthodox,"Sep 25, 1991",http://ufcstats.com/fighter-details/6a1901c62ab3870f
Viscardi Andrade,"5' 11""",170 lbs.,"75""",Orthodox,"Mar 08, 1984",http://ufcstats.com/fighter-details/d221ee27afc7a60e
Dylan Andrews,"6' 1""",185 lbs.,"74""",Switch,"Nov 15, 1979",http://ufcstats.com/fighter-details/00debc804e2b1cd4
Angga,"5' 7""",145 lbs.,"68""",Orthodox,"Jan 13, 1989",http://ufcstats.com/fighter-details/d6a3e131ad4ba064
Collin Anglin,"5' 9""",145 lbs.,"71""",Orthodox,"Feb 20, 1993",http://ufcstats.com/fighter-details/047a91d3d9c79b05
Chad Anheliger,"5' 6""",135 lbs.,"64""",Orthodox,"Dec 01, 1986",http://ufcstats.com/fighter-details/c7c39e2fb70248b3
Magomed Ankalaev,"6' 3""",205 lbs.,"75""",Orthodox,"Jun 02, 1992",http://ufcstats.com/fighter-details/d802174b0c0c1f4e
Gadzhimurad Antigulov,"5' 11""",205 lbs.,"70""",Orthodox,"Feb 09, 1987",http://ufcstats.com/fighter-details/af997f7611673880
Adam Antolin,"5' 5""",125 lbs.,"63""",Orthodox,"Feb 28, 1982",http://ufcstats.com/fighter-details/25b31165758402dd
Vanilto Antunes,"6' 0""",170 lbs.,"72""",Orthodox,"Dec 28, 1994",http://ufcstats.com/fighter-details/cc49ada1ea955b13
Shinsho Anzai,"5' 7""",170 lbs.,"70""",Orthodox,"Dec 01, 1985",http://ufcstats.com/fighter-details/4665f9f909cd7214
Jin Aoi,"5' 6""",145 lbs.,"68""",Orthodox,"Jan 21, 1997",http://ufcstats.com/fighter-details/031da10a00c8ccd4
Aoriqileng,"5' 7""",135 lbs.,"69""",Orthodox,"Jun 25, 1993",http://ufcstats.com/fighter-details/7d420039bbfe7c1a
Felipe Arantes,"5' 8""",135 lbs.,"73""",Orthodox,"Feb 09, 1988",http://ufcstats.com/fighter-details/71002dbc1743b9a7
Igor Araujo,"6' 1""",170 lbs.,"77""",Orthodox,"Dec 06, 1980",http://ufcstats.com/fighter-details/dbea8c1cb327ab3d
Viviane Araujo,"5' 4""",125 lbs.,"68""",Orthodox,"Nov 21, 1986",http://ufcstats.com/fighter-details/36541f1e6c5d4955
Julio Arce,"5' 7""",145 lbs.,"70""",Southpaw,"Oct 27, 1989",http://ufcstats.com/fighter-details/1291edf2d566a71a
Alice Ardelean,"5' 3""",115 lbs.,"62""",Orthodox,"Apr 19, 1992",http://ufcstats.com/fighter-details/87f8699fdcc2c404
Dan Argueta,"5' 7""",135 lbs.,"68""",Southpaw,"Aug 13, 1993",http://ufcstats.com/fighter-details/e4ba58725825412d
Hashem Arkhagha,"6' 2""",185 lbs.,"75""",Orthodox,"Sep 11, 1989",http://ufcstats.com/fighter-details/9a7ffa80766caa51
Andrei Arlovski,"6' 3""",240 lbs.,"77""",Orthodox,"Feb 04, 1979",http://ufcstats.com/fighter-details/3738e68d2261e60f
Garrett Armfield,"5' 6""",135 lbs.,"70""",Orthodox,"Oct 09, 1996",http://ufcstats.com/fighter-details/1effd880e1f1bb30
Austin Arnett,"6' 0""",145 lbs.,"72""",Orthodox,"Oct 22, 1991",http://ufcstats.com/fighter-details/bf0e700106d00e55
Eli Aronov,"5' 10""",185 lbs.,"72""",Orthodox,"Jun 06, 1996",http://ufcstats.com/fighter-details/a90c200c3fbb22c4
Akbarh Arreola,"5' 10""",155 lbs.,"71""",Southpaw,"Jan 14, 1983",http://ufcstats.com/fighter-details/c136b2a8852da5bd
Matt Arroyo,"5' 10""",170 lbs.,"72""",Orthodox,"Sep 01, 1982",http://ufcstats.com/fighter-details/de62052b2ede65ba
Antonio Arroyo,"6' 3""",185 lbs.,"73""",Orthodox,"Jul 01, 1989",http://ufcstats.com/fighter-details/61fb8098ccf81c7f
Kai Asakura,"5' 8""",125 lbs.,"69""",Orthodox,"Oct 31, 1993",http://ufcstats.com/fighter-details/d33da8a3d82bdb62
Teddy Ash,"6' 1""",185 lbs.,"73""",Switch,"Dec 27, 1989",http://ufcstats.com/fighter-details/a373085066dbfb54
Yanal Ashmouz,"5' 9""",155 lbs.,"69""",Orthodox,"Mar 31, 1995",http://ufcstats.com/fighter-details/c739c2995a275314
Askar Askar,"5' 7""",145 lbs.,"69""",Orthodox,"Aug 19, 1994",http://ufcstats.com/fighter-details/2abc414136504554
Askar Askarov,"5' 6""",125 lbs.,"67""",Orthodox,"Oct 09, 1992",http://ufcstats.com/fighter-details/b1d19449397541dc
Cyril Asker,"6' 0""",247 lbs.,"74""",Orthodox,"Dec 24, 1985",http://ufcstats.com/fighter-details/9be6020024133293
Khusein Askhabov,"5' 8""",145 lbs.,"69""",Orthodox,"Feb 13, 1995",http://ufcstats.com/fighter-details/5c10da56d712ac9c
Scott Askham,"6' 3""",185 lbs.,"75""",Southpaw,"May 20, 1988",http://ufcstats.com/fighter-details/06827d70c53ff0d9
Ben Askren,"5' 11""",170 lbs.,"73""",Orthodox,"Jul 18, 1984",http://ufcstats.com/fighter-details/0b31f87be71ebbb1
Ibo Aslan,"6' 3""",205 lbs.,"77""",Orthodox,"Apr 23, 1996",http://ufcstats.com/fighter-details/6e8f1bcdda94ff45
Tom Aspinall,"6' 5""",256 lbs.,"78""",Orthodox,"Apr 11, 1993",http://ufcstats.com/fighter-details/399afbabc02376b5
Steven Asplund,"6' 5""",261 lbs.,"78""",Orthodox,"Jul 16, 1998",http://ufcstats.com/fighter-details/e56cee1ad697db04
Junior Assuncao,"5' 9""",145 lbs.,"72""",Orthodox,"Jun 24, 1981",http://ufcstats.com/fighter-details/d0d7160824278840
Raphael Assuncao,"5' 5""",135 lbs.,"66""",Orthodox,"Jul 19, 1982",http://ufcstats.com/fighter-details/2f13e4020cea5b38
Michael Aswell Jr.,"5' 8""",145 lbs.,"69""",Orthodox,"Sep 27, 2000",http://ufcstats.com/fighter-details/01c9e4013afce141
Rich Attonito,"5' 10""",170 lbs.,"72""",Orthodox,"Jun 16, 1977",http://ufcstats.com/fighter-details/210935fd21670f6d
Olivier Aubin-Mercier,"5' 9""",155 lbs.,"70""",Southpaw,"Feb 23, 1989",http://ufcstats.com/fighter-details/55ee431411ccf07a
Marcus Aurelio,"5' 10""",155 lbs.,"74""",Orthodox,"Aug 18, 1973",http://ufcstats.com/fighter-details/04643fd03d9159cc
Blas Avena,"6' 0""",170 lbs.,"74""",Orthodox,"Jun 30, 1983",http://ufcstats.com/fighter-details/8753e125f4499816
Julia Avila,"5' 7""",135 lbs.,"68""",Orthodox,"May 11, 1988",http://ufcstats.com/fighter-details/86d9dbe1bfcbade7
Jessin Ayari,"6' 0""",155 lbs.,"73""",Orthodox,"May 31, 1992",http://ufcstats.com/fighter-details/6eaec40f724852f4
Abu Azaitar,"5' 9""",185 lbs.,"76""",Orthodox,"Mar 10, 1986",http://ufcstats.com/fighter-details/46d0a888d87d91ac
Ottman Azaitar,"5' 8""",155 lbs.,"71""",Switch,"Feb 20, 1990",http://ufcstats.com/fighter-details/ee18ff42063174df
Hunter Azure,"5' 8""",145 lbs.,"69""",Orthodox,"Mar 02, 1992",http://ufcstats.com/fighter-details/2af2f2e26c4c0402
Seth Baczynski,"6' 3""",170 lbs.,"75""",Orthodox,"Oct 26, 1981",http://ufcstats.com/fighter-details/fd5b6598a3b70c0a
Ryan Bader,"6' 2""",205 lbs.,"74""",Orthodox,"Jun 07, 1983",http://ufcstats.com/fighter-details/c0ab242c40decc55
Miguel Baeza,"6' 2""",170 lbs.,"74""",Orthodox,"Aug 23, 1992",http://ufcstats.com/fighter-details/82d4c957649faf9b
Ali Bagautinov,"5' 4""",125 lbs.,"65""",Orthodox,"Jun 10, 1985",http://ufcstats.com/fighter-details/3dd92ff9fb0412b3
Melsik Baghdasaryan,"5' 9""",145 lbs.,"70""",Southpaw,"Jan 28, 1992",http://ufcstats.com/fighter-details/a52bc1e62cf0b7c6
Siyar Bahadurzada,"5' 11""",170 lbs.,"73""",Orthodox,"Apr 17, 1984",http://ufcstats.com/fighter-details/aec185309b4843d0
Ignacio Bahamondes,"6' 3""",155 lbs.,"75""",Orthodox,"Aug 27, 1997",http://ufcstats.com/fighter-details/e4a47b07044ddd72
Bahatebole Batebolati,"5' 8""",170 lbs.,"71""",Southpaw,"Sep 12, 1997",http://ufcstats.com/fighter-details/8f313e9c3a39c06e
Shamar Bailey,"5' 9""",155 lbs.,"75""",Southpaw,"Sep 22, 1982",http://ufcstats.com/fighter-details/e2b8186b618b00c4
Balajin,"5' 9""",145 lbs.,"72""",Orthodox,"Mar 31, 1992",http://ufcstats.com/fighter-details/e626e92a8f2a9737
Oluwale Bamgbose,"5' 11""",185 lbs.,"78""",Switch,"Aug 04, 1987",http://ufcstats.com/fighter-details/04b39f4e8eb59d7c
Humberto Bandenay,"5' 11""",145 lbs.,"71""",Southpaw,"Sep 04, 1994",http://ufcstats.com/fighter-details/2c2caf2f2bab9df5
Tae Hyun Bang,"5' 9""",155 lbs.,"71""",Switch,"Apr 15, 1983",http://ufcstats.com/fighter-details/9a2d3567abc02e34
Shauna Bannon,"5' 5""",115 lbs.,"65""",Switch,"Oct 23, 1993",http://ufcstats.com/fighter-details/9c442aaf149ea982
Antonio Banuelos,"5' 5""",135 lbs.,"63""",Orthodox,"Sep 23, 1979",http://ufcstats.com/fighter-details/9ddfb3369a3b0394
Iwo Baraniewski,"6' 0""",205 lbs.,"73""",Orthodox,"Nov 20, 1998",http://ufcstats.com/fighter-details/1c23ec2f1b71be40
Renan Barao,"5' 6""",145 lbs.,"70""",Orthodox,"Jan 31, 1987",http://ufcstats.com/fighter-details/2c99576fefe53c7c
Maycee Barber,"5' 5""",125 lbs.,"65""",Switch,"May 18, 1998",http://ufcstats.com/fighter-details/6a740daf1b279661
Bryan Barberena,"6' 0""",185 lbs.,"72""",Southpaw,"May 03, 1989",http://ufcstats.com/fighter-details/a331233f597090a5
Djani Barbir,"6' 3""",185 lbs.,"79""",Orthodox,"Aug 09, 1997",http://ufcstats.com/fighter-details/d4baaa0630bf5798
Dione Barbosa,"5' 6""",125 lbs.,"66""",Orthodox,"May 08, 1992",http://ufcstats.com/fighter-details/27b388f0aab49780
Marcio Barbosa,"5' 6""",145 lbs.,"70""",Orthodox,"May 22, 1998",http://ufcstats.com/fighter-details/c85bad793cd14e28
Edson Barboza,"5' 11""",155 lbs.,"75""",Orthodox,"Jan 21, 1986",http://ufcstats.com/fighter-details/64a50dad704d1d49
Raoni Barcelos,"5' 7""",135 lbs.,"67""",Orthodox,"May 01, 1987",http://ufcstats.com/fighter-details/b9f28e7045fdfce7
Daniel Barez,"5' 6""",125 lbs.,"66""",Orthodox,"Dec 10, 1988",http://ufcstats.com/fighter-details/e8fe9c15d348e778
Danny Barlow,"6' 2""",185 lbs.,"79""",Southpaw,"Aug 02, 1995",http://ufcstats.com/fighter-details/b7c5eb7cdbac6a63
Luke Barnatt,"6' 6""",185 lbs.,"77""",Orthodox,"Apr 13, 1988",http://ufcstats.com/fighter-details/172c2135e70f87b7
James Barnes,"5' 8""",135 lbs.,"71""",Orthodox,"May 28, 1982",http://ufcstats.com/fighter-details/c06a5c95f1169c0b
Shonte Barnes,"5' 11""",185 lbs.,"76""",Southpaw,"Feb 09, 1987",http://ufcstats.com/fighter-details/e575b6ff678c1aca
Josh Barnett,"6' 3""",250 lbs.,"78""",Orthodox,"Nov 10, 1977",http://ufcstats.com/fighter-details/ad3f53c454cbbead
Chris Barnett,"5' 9""",265 lbs.,"75""",Orthodox,"Jun 14, 1986",http://ufcstats.com/fighter-details/7a5e8c94a86f9895
Phil Baroni,"5' 9""",170 lbs.,"72""",Orthodox,"Apr 16, 1976",http://ufcstats.com/fighter-details/1652f3213655b935
Peter Barrett,"5' 10""",145 lbs.,"73""",Southpaw,"Aug 10, 1986",http://ufcstats.com/fighter-details/d21113c9ff3788ae
Marc-Andre Barriault,"6' 1""",185 lbs.,"74""",Orthodox,"Feb 18, 1990",http://ufcstats.com/fighter-details/8e9eb3fc86db0f7d
Francimar Barroso,"6' 1""",205 lbs.,"75""",Orthodox,"Feb 28, 1980",http://ufcstats.com/fighter-details/b69f24c500d783e7
Pat Barry,"5' 11""",235 lbs.,"74""",Orthodox,"Jul 07, 1979",http://ufcstats.com/fighter-details/658c3465581ae46b
Dean Barry,"5' 10""",170 lbs.,"72""",Orthodox,"Jul 03, 1992",http://ufcstats.com/fighter-details/a6f3d15cb84334bb
Enrique Barzola,"5' 7""",145 lbs.,"70""",Orthodox,"Apr 28, 1989",http://ufcstats.com/fighter-details/be0b310a12eb80b4
Javid Basharat,"5' 9""",135 lbs.,"69""",Orthodox,"Sep 07, 1995",http://ufcstats.com/fighter-details/bbab3baf66128ae2
Farid Basharat,"5' 8""",135 lbs.,"71""",Orthodox,"Aug 02, 1997",http://ufcstats.com/fighter-details/a09ed60aa67a3f67
Austin Bashi,"5' 6""",145 lbs.,"70""",Orthodox,"Sep 29, 2001",http://ufcstats.com/fighter-details/d3f89fa685bd8420
Namsrai Batbayar,"5' 4""",125 lbs.,"68""",Orthodox,"Dec 29, 2000",http://ufcstats.com/fighter-details/e1f8beeb6d2d871a
Bryan Battle,"6' 1""",185 lbs.,"77""",Orthodox,"Sep 21, 1994",http://ufcstats.com/fighter-details/f626118b6da0e020
Alan Baudot,"6' 3""",243 lbs.,"79""",Orthodox,"Feb 01, 1988",http://ufcstats.com/fighter-details/c9a94278df042f46
Mario Bautista,"5' 9""",135 lbs.,"69""",Switch,"Jul 01, 1993",http://ufcstats.com/fighter-details/bc711b6dd95c1af6
Chris Beal,"5' 7""",125 lbs.,"69""",Orthodox,"Aug 06, 1985",http://ufcstats.com/fighter-details/55f446032177b119
Donovan Beard,"6' 2""",185 lbs.,"78""",Orthodox,"Nov 05, 1989",http://ufcstats.com/fighter-details/3a6ac598320ca7f2
Ariel Beck,"5' 6""",125 lbs.,"66""",Southpaw,"Sep 16, 1990",http://ufcstats.com/fighter-details/b96939f2b8d88e82
Jack Becker,"5' 10""",155 lbs.,"71""",Orthodox,"Dec 20, 1992",http://ufcstats.com/fighter-details/b5a379583673510a
Johnny Bedford,"5' 10""",135 lbs.,"71""",Orthodox,"Jan 06, 1983",http://ufcstats.com/fighter-details/ffc3e6daaa6da0b7
Rolando Bedoya,"5' 11""",155 lbs.,"74""",Orthodox,"Jan 13, 1997",http://ufcstats.com/fighter-details/40a456a25d52ee65
Chase Beebe,"5' 7""",135 lbs.,"67""",Orthodox,"Mar 29, 1985",http://ufcstats.com/fighter-details/b16a7e6a627e9789
Allan Begosso,"5' 5""",135 lbs.,"66""",Orthodox,"Nov 23, 1995",http://ufcstats.com/fighter-details/d6ed764f8b78d32a
Azamat Bekoev,"6' 0""",185 lbs.,"72""",Orthodox,"Dec 30, 1995",http://ufcstats.com/fighter-details/3bc3f60b21cddc6a
Mirsad Bektic,"5' 8""",145 lbs.,"70""",Orthodox,"Feb 16, 1991",http://ufcstats.com/fighter-details/cbd3e590a85b18c5
Diana Belbita,"5' 7""",125 lbs.,"68""",Orthodox,"Jun 26, 1996",http://ufcstats.com/fighter-details/d7e40dca3ae125be
Alan Belcher,"6' 2""",185 lbs.,"75""",Orthodox,"Apr 24, 1984",http://ufcstats.com/fighter-details/4130a743d9d22163
